id,video_id,time,author,text,label,hate,evaluated
Ugg7m8FbUULy83gCoAEC.7-H0Z7-7lHd70bHXeR2uKm,TATn7Q207y0,4 years ago,NiColaj V, дмитрий киевлянин когда коммандировочные беркуту от яныка около штуки баксов в день сложно им думать о совести ,False,False,True
UggQq9ZN1zFpkngCoAEC,zCmV4dX5tgs,4 years ago,Виктор ка,соловьёв красавчик всегда мне нравился короткими вставками ,False,False,True
UggadD_sEFImS3gCoAEC,GnuEojquj7E,1 year ago,Диванный Эксперт,я бы открыл стрельбу по талпе ведь они угражают жизни своими булыжниками и цепями в пендосси уже бы растреляли ,True,True,True
Ugjg5B-9OiVfk3gCoAEC,zCmV4dX5tgs,4 years ago,Дмитрий Бессарабов,читаю комментарии и становится понятно что все кому лень думать вникать во внутреннюю и внешнюю политику россии те за хакамаду именно такие слепо идут на болотную майданы и прочие путчи т к зачем думать нам же сказали за свободу за справедливость крашенинникова уже для таких как вы все разжевала все по полочкам разложила хотя о чем это я это же все равно надо мозг включить и подумать а хакамада так задорно орет что грех ей не поверить ,False,False,True
Ugys6n_ewcf_tL4rxNl4AaABAg,ZRhHOMYxVCA,7 months ago,Grzegorz Brzęczyszczykiewicz,молодцы украинцы приятно видеть то как они боролись за свои права и свободы и били поганых мусоров слава украине ,True,False,True
UggJ9yhHrk3PXHgCoAEC,eP4ggwPaRts,3 years ago,Victor 56reg,клоуны блядь ,True,False,True
Ugj7OTh4krUF4XgCoAEC.7-H0Z7-8iSm7-LhJX2WXKV,TATn7Q207y0,4 years ago,nikolaj fastovec, арина корина обоснуйте своё обвинение с чего вы взяли что я фашист я ведь могу тоже написать что вы трассовая шлюха но если я не обосную то это только голословное обвинение и так с чего вы обвинили меня в фашизме ,True,False,True
Ugg6Lqi8aW6AangCoAEC,XW6hWPZglv8,3 years ago,New Divide,слава украине ,False,False,True
Ugg7oQeS12uDZHgCoAEC,3OIuCNGkgN4,4 years ago,Шакіров Любомир,молодці так їм ,False,False,True
UggiRXNYCNkktHgCoAEC,T6IbEIBhb8o,4 years ago,васёк васьков,эй комментаторы в армии хотя бы в стройбате кто нить служил так не работают снайпера с прикрытием да ещё этот бендеркомментатор в нескольких метрах от злодеев это продолжение сериала предыдущие серии голый хрен с пейсом на макушке потом отрезанные уши и т д ,False,True,True
UgjmSQXWn4IlHngCoAEC.7-H0Z7-Hc3-7-Wt-QJJ69w,zCmV4dX5tgs,4 years ago,Ев Завал, мариша клишечто значит сергать люди требуют выборов а не казни это перезагрузка а не свержение если так рассуждать как вы то изменения всегда будут не к месту всегда чего то или кого то не хватает а украина в любом случае не будет без власти ведь есть парламент кабмин местные органы власти ,False,False,True
Ugg3dT4eAp1B63gCoAEC.7-H0Z7-0WLA7-J1r6xV5b9,wObv3OVPk30,4 years ago,Александр Шемелин,читай аннотацию ,False,False,True
UgjTiRfKi2y0CXgCoAEC,zCmV4dX5tgs,4 years ago,Alex Reutov,я вот не могу понять если я ненавижу януковича вместе с его комуноуголовную семейку и хочу его сместить значит я фашист значит люди которые грабят страну последние года это молодцы классные ребята а те кто хотят его сместить фашисты почему я не имею право в собственной стране развиваться люди которые вышли на майдан хотят только одного иметь право на самозащиту и на саморазвитие мусорские чиновники при януковиче так охамели что могут любого закрыть в часа и надолго милиция в государстве отсутствует медицина отсутствует судов нет и это по мнению россиян хорошо а попытка изменить свою жизнь к лучшему фашизм че за бред нас достала эта комунофашистская мразь которая паразитирует на людях мы просто хотим жить свободно и быть увереными в завтрашнем дне что в этом плохого ,True,False,True
Ugg-E_CLwDvOn3gCoAEC,xZUzfzTLD4U,4 years ago,Super Midzy,так вот в чем дело хохлы просто решили снять супер крутой фильм со спецэффектами как у спилберга и экшном как у снайдера обязательно пойду в кинотеатр ,False,True,True
UggUJ8dNFM-7cHgCoAEC,NiT0zcDA9RU,4 years ago,vitaliu30,смерть виродкам мусорським до коліна ,True,False,True
UgjVlP_zh6M5wngCoAEC,yAqF2rEu-c0,3 years ago,rastapoltava,гори в аду крым донбасс украина оккупантам жестокая смерть путлер капут ,True,False,True
Ugit4fIzGfNv83gCoAEC,T6IbEIBhb8o,4 years ago,TKlimate,возникает вопрос почему снайпер только один и где пулеметчики почему их не видно ,False,False,True
Ugjv9EBPODhccngCoAEC.7-H0Z7-Roca7-HUVUk9u42,KLugDbnOhws,4 years ago,Felix,так ты двуличный мудак живешь в европе а в украине хочешь видеть зону под паханатом янукевича я не от тебя бабло получаю не волнуйся сибирь пишется через и грн получает титушка баксов беркут баксов тихарь мент ну а снайпер конечно больше и не пори гарячку про снег я тебя умоляю это бред ,True,False,True
UghI9hWizIbOBngCoAEC.7-H0Z7-S5yq7-H4IdTHrUY,yjMs_vAV6S8,4 years ago,desrtom, александр пяткин бандеровцев бить можно и нужно ,True,True,True
UgiwFyejafWsw3gCoAEC,GItQLVTo4EI,1 year ago,ж ц,идейные дураки ,True,False,True
UgzKQ7Hzt2FGD7_shIt4AaABAg,zCmV4dX5tgs,7 months ago,Артур Маннанов,ирина молодец интересная женщина ,False,False,True
UgheUk3yl6Ovp3gCoAEC,KUCR8xORoUo,4 years ago,852369951,слава украине ,False,False,True
UgjRKVWPhQUnW3gCoAEC,zCmV4dX5tgs,4 years ago,bob g,передачка во главе пидора сасет у путлера и доволен ,True,False,True
UgiXBHC7CT_9j3gCoAEC,7xpI5dMsnEM,4 years ago,legat,эти выродки не только о присяге забыли но уже в них ничего человеческого не осталось продались режиму и дьяволу так теперь пусть не удивляются что народ им не только не доверяет но презирает и ненавидит жаль что название беркут как слово нарицательное звучит им больше название из падальщиков подойдет стервятники ,True,False,True
Ughw50MaajMaj3gCoAEC.7-H0Z7-R_lN7-I6s5V2rBs,xZUzfzTLD4U,4 years ago,Юра,это не революция а продажные америкосные шестерки ,True,True,True
UgjG1EIXs7u90HgCoAEC.7-H0Z7-9Z8q7O9RxykGZH3,IC7sx75-A0Q,2 years ago,nabuchiko, эрик хотя ничего скоро мы все равно мы узнаем всю правду стоит нам только в очередной раз подружиться с американцами они выведут из црушных комнат все это из под грифа и представят на всеобщее внимание и осуждение правда пройдет не мало лет многие даже забудут эту катастрофу ,False,False,True
UgiQG6vY9W3OPHgCoAEC,KUCR8xORoUo,4 years ago,Роман Грицай,саша україна з тобою завжди ,False,False,True
Ugii_Ne3g_NKlXgCoAEC.7-H0Z7-59tx7-HDujqcdTE,T6IbEIBhb8o,4 years ago,Elvis Presly,скажешь это им когда в тебя стрелять начнут ,False,False,True
UgjFW0S-0WWMjngCoAEC,SwZ_LW9NsUE,4 years ago,Gold Times,зажигательными по етим зверям гасить надо ебаные продажные суки стоят там за гр ,True,False,True
UgiyJyydIcHZgngCoAEC.7-H0Z7--Q6-70Rh36zFAar,K0icRY1Ae5A,3 years ago,Floki, украина свободная страна вы хотите сказать что на том видео из одессы одни агенты фсб ,False,False,True
Ugi_Iu5yLukSZXgCoAEC,FXCliOGt0Jc,4 years ago,Алексей Р,параноидальная мания преследования это про этого гаврика и хрень про все видео в целом ,True,False,True
UgggwXhuLExQsXgCoAEC,SwZ_LW9NsUE,4 years ago,сталин иосиф,это бред милиция раздевает и расстреливает провокаторы придумайте что то менее маразматичное ,False,False,True
UgjRbOAECULtW3gCoAEC,NiT0zcDA9RU,4 years ago,Svitlana Sumtsova,по видимому беркут заслан с россии ,False,False,True
UgjiJFJRxpaK4HgCoAEC.7-H0Z7-4JBi7-HvxBXifsD,uhwtsjFbQK4,4 years ago,Vitalij Kovpak,украину как она есть хочет только тс а ес хочет чтоб мы у себя для начала как минимум порядки понаводили от страны где все держится на откатах и коррупции никому кроме россии пользы нет ,False,False,True
UgjXeE7n5tpsxHgCoAEC,T6IbEIBhb8o,4 years ago,medvedkovo2006,так их всех совсем охренели хохлы тока отстреливать и надо ,False,True,True
UghZ8UtqSvDGJngCoAEC.7-H0Z7-EUJv7-Jc23E1yXC,zCmV4dX5tgs,4 years ago,Александр Н, анна левицька анна если вы в своем уме то скорее вы платный тролль можно как угодно относиться к крашенинниковой но её доводы просто железные а хака просто жжет и делает эмоциональные выпады ,False,False,True
UggqKlsKSSv8iHgCoAEC.7-H0Z7-Dmeb74KKZly5P8V,_k-gDXrfu-s,3 years ago,misslenore1,ваня рус сволочь молись мразь гореть тебе в аду тварь москальская я плюю на тебя и на могилы твоих предков и на твою могилу буду плевать ,True,True,True
UgivgDz1nWkBpngCoAEC.7-H0Z7-F5SB763qdCGvdm3,zCmV4dX5tgs,3 years ago,Голубка мира,они только скакать жрать срать спать могут и им этого вполне хватает для счастья ,True,False,True
UggHAgZIz0VhjHgCoAEC.7-H0Z7-U_NU7-HoS7Ogra0,K0icRY1Ae5A,3 years ago,Русофобский Жидобандеровец,мудак монголский у тебя печалка твои братья чурки колорады не сняли в одессе свое самосожжение поэтому никаких кадров и нет ,True,False,True
UghWSYSzFUoMJHgCoAEC,3NGA7xvqC_Q,4 years ago,Degradation FM,пиздаболия вру ,True,False,True
UgyYCmDBdGtdUAQ_bqd4AaABAg,RMxbOKbjX3A,6 months ago (edited),Ульяна Грибко,срубавши голову по волосам не плачут ,False,False,True
UghqKxdBy5afdngCoAEC,P0lJZttUnHE,4 years ago,Paul V. Lashkevich,к сожалению очень много нелюди пишет комментарии ,False,False,True
UggiHHXA-u28Z3gCoAEC.8AqGCoymfCm8GP4ofe06f3,XW6hWPZglv8,1 year ago,Chesnok,нет лучше оставить их россиюшке что бы она и их разворовала москалям в киев путь закрыт ,False,True,True
UgyCdcJ_KVjjVz19a554AaABAg,_k-gDXrfu-s,9 months ago (edited),Net Work,за что стояле сука за новую полицию которая лишь прибавила понтов за цены космические за безвиз который нахер никому не нужен а проще уже визу сделать а за зарплаты в тысячу гривен а сука я за украину и сам я уроп да что толку то нихуя не изменилось ,True,False,True
UgjWSQwYWOzeR3gCoAEC,T6IbEIBhb8o,4 years ago,Налим Налимыч,этих беркутовских ублюдков ждет трибунал и зона как и их вора януковича а путин с лукашенко пусть ждут они следующие ,True,False,True
Ugi-5b2T-g7XzHgCoAEC.7-H0Z7-BS927076s4gHnxI,XW6hWPZglv8,4 years ago,Денис Путченко, афанасий крутиков ну за гроши с обеих сторон шакалов хватает и насколько я вижу информацию активно искажают с обеих сторон причем обильно посыпают своим мнением хотя нет вряд ли своим а у тебя я вижу мнение о востоке страны уже сложилось и не похоже что ты готов слушать чье то мнение зомби же не люди а значит с ними можно не считаться да и убить не жалко прямо милосердие ,True,False,True
UgidBz7HYiRDA3gCoAEC,3KyjqEmLJ7E,4 years ago,сергей титов,а я думаю вместо беркута сталинских пулеметчиков там надо поставить с приказом зачистить площадь от стада бешеных быдлотников сколько же этого дерьма развелося в нашей стране в европу захотели а что они сделали для этого за что голосуют лутше бы работали как все нормалиные люди на заводах и фабриках экономику подымали бы они думают украина европе нужна да плевать она хотела на украину у них своих проблем хватает самая главная проблема у них унижтожить славян любым способом ес это один из этих способов конечно же эта школота сыкунская живущая за мамины и папины деньги этого не поймет куда уж им там за евро бутеры с евро чам они и мать ролную продадут как это сделали ихнии бабки деды продали советский союз за банку гнилых консервов прежде чем идти в европу нужно жить по европейски научиться а не стоять с голым задом и требовать не понятно что ,True,False,True
UgiONdml2Y3daXgCoAEC,SwZ_LW9NsUE,4 years ago,Натали Иванова,ахах парни из кировограда там как раз так разговаривают на бендерской мове хоть бы врали красиво и где они бежали че то не увидела ,False,True,True
UggQDsIaKWRryXgCoAEC,T6IbEIBhb8o,4 years ago,семен гарельд,у силовиков калаши с другим прикладом а у этих гнид с повязками складные приклады это не силовики а боевики нанятые западом ,True,False,True
UgjX2T5Eo27CJ3gCoAEC,gapDCCE1NHU,4 years ago,Сергей К.,цирк а не видео и им это показывают уже весь мир живет в веке а россия все в войнушки хочет играть путин доведет россию до того что будет как с януковичем только бежать ему уже будет некуда жаль нормальных русских которым такую правдивую информацию доносят сми ,False,False,True
UgiW_gvLDKexrngCoAEC.7-H0Z7-BpO77-SZnqtcQch,F_y2fwWwyrU,4 years ago,Ярик Олифиренко,разницы нет вас везде одинаково ненавидят ,False,False,True
UghH9n3dUarc73gCoAEC,E950t1WGiE0,2 years ago (edited),Жека Царев,лучше бы показали как поджигали заживо офицеров безоружныхи ну и хотя бы за чей счет сартиры содержались ой я забыл же что это канал патриота вити пинчука еврея которого буш и клинтон на юбилей приглашали тогда я не сомневаюсь в не предвзятости красава хорошо работает значит я согласен что сша не причем эти события стихийны а если даже и при чем то они спать спокойно не могли зная что где то в мире есть такой тиран янукович ведь они же любят украинушку матушку всей душой а мы все любим сша ,False,False,True
UggHAKHC6rtwjHgCoAEC.7-H0Z7-0KCB7-HHhj3ULj0,NiT0zcDA9RU,4 years ago,SOKILDNISTER,україна совісно й нескорено вставай й бандитам не прощай та всіх гадів гідно наш народе швидше покарай дивіться ютубвідео свтло віри й правди упа та благовіст довбуша все що сталось в киіві було передбачено божими пророцтвами ще з року які є в тих відео та в статтях нашоі інтернетпятірки офіцерів священників упа бандери голодюка попереду опівночі в грудні р має бути ява антихриста і призначення в киів царем путіна й тоді проти нього воскреснуть з небес з синеоким русим христом наші святі героі щоб помогти упа боротися із комунозлом бог нам помагав і поможе упа й украіна переможе щасливо слава украіні слава нації ,False,False,True
UghiP00M9i5tKHgCoAEC.7-H0Z7-MWYN7-H3Zsl-Chn,T6IbEIBhb8o,4 years ago,Александр Рудик, макс курбатов беркут применил дозволенную силу а в ответ получили коктейли молотова вот это уже криминал ,False,False,True
UghtNP4UmYiRmngCoAEC,NiT0zcDA9RU,4 years ago,xORFEYx,зечара тебя ждет судьба каддафи ,True,False,True
Ugh4wU1iV2bGB3gCoAEC,uhwtsjFbQK4,4 years ago,Oleg Super,сало всем хватило ,False,False,True
UghepbMWS82Hr3gCoAEC.7-H0Z7-QR6j7-HiQT03VTC,uhwtsjFbQK4,4 years ago,ffp, сеньор помидор так что в очень тяжелое время мы живем только внуки наши наверное вкусят плоды счастливой жизни ,False,False,True
UggW4ZkB5_wjEHgCoAEC.7-H0Z7-20au7-IGfS-66QT,SwZ_LW9NsUE,4 years ago,Zhenia Hunter, олег вяткин ну там хтось стоїть в німецький казці і кричить що він німець аву очніться то такі українці як ви нема там німців і англійцій там нема таких націй то ми свої да деякі продажні но то все одно люди україни як і ви всі ,False,False,True
UgiCAs5aUcYmzHgCoAEC.86G63nJK7YK89Ge6irShfU,H_ToRtwlvpI,2 years ago,Жёлтыи Вагончик, ,False,False,True
UgjAaD08o8lfPXgCoAEC,E950t1WGiE0,4 years ago,Іра Бутрин,де в рази підвищилися тарифи брехня як не соромно ,False,False,True
UgjN4IwFyBk_PngCoAEC,o9hyneGbGoM,4 years ago,yana skladanuk,так разом ми стіна ,False,False,True
Ughv0ySjCNJcaXgCoAEC.7-H0Z7-EtKp7-HqkNbcYfX,UJc7y4b1_eo,4 years ago,владимир владимирович, анна арич иди на хуй мелкими шагами ,True,False,True
UgiYVdbh49_U9ngCoAEC,7xpI5dMsnEM,4 years ago,Юрій Андраціон,вот зачем нам нужна реформа в правоохранительных органах но всем же пофиг ,True,False,True
UggU111Icphw6XgCoAEC.7-H0Z7-Mjsy7-UK_K5SFQk,rngYEzRxlWU,4 years ago,олег новиков, андрей карпина ты вообще думаешь что пишешь или ты под действием алкоголя ты написал мы усыпили донбасс анастезиолог что ли ты не родственник фарион случайно насчет обид если был в донецке то должен знать кто обижается я могу лишь расстроиться и поверь никак не из за тебя и твоих оскорблений ,False,False,True
Ugi9w1NBPRNxaHgCoAEC.7-H0Z7-CKLg7-JvkJf-fxY,3KyjqEmLJ7E,4 years ago,Alexandr Ukr,даун мабудь куплений пр черговий титушко клавіатурний ,True,False,True
UgiuFgIWQRly7XgCoAEC.7-H0Z7-RNGF7-HkB8Pl-HW,uhwtsjFbQK4,4 years ago,uostap1, николай негоголь я предпочту бути українцем а не тим і не іншим ,False,False,True
UgidhvKGCmLrVXgCoAEC,T6IbEIBhb8o,4 years ago,Максим Антонов,кроме доказательства применения огнестрельного оружия силовиками это видео доказывает отсутствие огнестрела у повстанцев в случае возможности ответного огня в полный рост вразвалочку не ходят уж этим хлопцам это точно известно ,False,False,True
UghYa6r1FBEYqHgCoAEC,TATn7Q207y0,4 years ago,Shamanestr,петиция закончилась цифрой ,False,False,True
Ugj0as0lZruwQngCoAEC,T6IbEIBhb8o,4 years ago,mak147611,где власть ведь война ,False,False,True
UggxrAWK_RY3g3gCoAEC.7-H0Z7-4DfC7-HD89Iw2Y8,KLugDbnOhws,4 years ago,g0ldenkey,да стыд и позор майдаунным оккупантам ,False,True,True
Ugh5n9YwTc8c7ngCoAEC.7-H0Z7-ECCA7-H7cePabLK,uhwtsjFbQK4,4 years ago,Isaías Gaddiel Peralta,ага европейска нация ох ели что ли ,True,False,True
UggNon1P4UUNC3gCoAEC,P3eau1H2MC4,4 years ago,Rollso,скоро за ведро строительного мусора будут сажать в сизо ,False,False,True
UgjIsNrXsL0AWXgCoAEC,T6IbEIBhb8o,4 years ago,Макс Стелс,а где нашивки беркута у снайпера я вижу только мудака позирующего на камеру и стреляющего в людей профи себя так не ведут ,True,False,True
UgjtwV8InCKJWngCoAEC.86VAVao2lMl89nzG41CSmu,E950t1WGiE0,2 years ago,zerownt,буковки выучи а потом по сайтам лазь ,False,False,True
UgiWWXPwhnTw1ngCoAEC.7-H0Z7-2FyL7-OkgX-rRs2,H_ToRtwlvpI,4 years ago,Alex Tkachov,вы уже помогли ,False,False,True
UghFbyr-uJCKT3gCoAEC.7-H0Z7-8L-Q7-LWH61BjDQ,F_y2fwWwyrU,4 years ago,Кирилл Голиков, мирослав карпюк ахаха эбалка не выросла еще эбака хуев твоя мама хуи сосала чтоб ты за интернет заплатил а ты хуйню всякую пишеш лучше бы что нибудь умное прочитал дефективный ,True,False,True
UggOJxihYqjikHgCoAEC,E950t1WGiE0,3 years ago (edited),вано ваныч,тут правильно сказали на западе свои герои в центре свои на востоке свои герои и эти герои ни как не могут идти в одном направлении и уж тем более в единой стране невозможно строить три противоположные истории украина это ошибка это страна обреченная на развал не могут герои сс шагать рядом с героями освободителями от фашизма они враги а враги единую страну строить не могут ,False,False,True
Ugg5HDdk74YmG3gCoAEC,0U3z72_GuAk,4 years ago,Sergey Shevchuk,там не видно кто стрелял и стрелял ли вообще ролик не показательный ,False,False,True
UghFmQj531itZXgCoAEC,5dPVU8Gaa44,1 year ago,Лол лол,гандон ,True,False,True
Ugi0e-AW-mWqDXgCoAEC.8DgVfVpng7z8M3NofDdLfn,zCmV4dX5tgs,1 year ago,Darth Vader, уровень жизни показатель столь же бессмысленный сколь и средняя температура по больнице но каклоте не понять к европейской зарплате идут и европейские цены и европейские налоги и европейская безработица так что получается что в россии и даже на украине зарплата внезапно намного больше шкура продажная такая шкура ,True,True,True
UggR3_Bc0YfHgXgCoAEC,zCmV4dX5tgs,4 years ago,AndRejAkSs,если убрать всю словесную шелуху то все становится на свои места соглашение об ассоциации в плане экономики полная сдача слив украины факт подтвержденный всеми экспертами это приведет тотальному обнищанию народа и голодным смертям и к безысходности в плане политики значительная потеря сувернитета как во внешних так во внутренних делах при этом ни о вступлении в ес ни о безвизовом режиме ни о каких либо рабочих квотах речи вообще нет уже есть примеры ассоциации с ес тунис ливия египет и тд там царит демократия высокий уровень жизни и автобаны как в германии видимо ах да еще есть турция которая вступает в ес уже лет ,False,False,True
Ugg-QiddNasMDngCoAEC,seKRkKwUEdE,4 years ago,Stanislav Makarenko,очень надеюсь летом в украине попасть на ваше выступление в одессе киеве ,False,False,True
UgiHj2mRKRVAUHgCoAEC.7-H0Z7-J3o-7-H6r00J8pS,T6IbEIBhb8o,4 years ago,Андрей Максимов,иди в нато проститутка ,True,False,True
UgjbUCu4orQmtXgCoAEC.7-H0Z7-0sr07-LaKgrJNhg,6NeJfnvbFHE,4 years ago,Kонсул Юг,а вопрос на засыпку хочешь а как ты думаеш кто такими как вы сегодня правит да да да да наш президент с донецка а ты сучара подстилка польская ,True,False,True
UggAU00dop7e6ngCoAEC,FXCliOGt0Jc,4 years ago,Наталия Ростова,да все так и есть кирдык нам они давно готовили но мы не сдадимся ,False,False,True
UgiEX45e7vq9JHgCoAEC.7-H0Z7-PbjX7-H0kbtgYbn,0k8GVmgB9Hw,4 years ago,warenickk,да и гильза от пистолета к чему здесь или снайпер с пистолета стреляет ,False,False,True
UgjdfOty9JyW5ngCoAEC,T6IbEIBhb8o,4 years ago,Paul Reisen,наконецто бандеров крошат ,True,True,True
UgjFhniPQPDDn3gCoAEC.7-H0Z7-LcPf7-HVnxJZ9iU,SwZ_LW9NsUE,4 years ago,Don Grases, филлип брукс у вас есть основания полагать что я не умен ,False,False,True
UgifU1alsNJLAngCoAEC.86jN3Du9nQ78Ri9lPlqXkE,zCmV4dX5tgs,1 year ago,Владимир Оржеховский,там же в жопе ,True,False,True
Ugi0e-AW-mWqDXgCoAEC.8DgVfVpng7z8FFGydFPn49,zCmV4dX5tgs,1 year ago,Вадим Романюк,ты где живешь я вопрос задал а ты был в этой ущербной и неудобной сети чтоб давать оценку так что там про достижения майдана ,False,False,True
UggvdQqaJsVbyngCoAEC,LvzCpAFi1BU,4 years ago,Геннадий Геннадиевич,та как они заебали обосранцы с западной у нет украины засраки такой красивый город киев когда их уже водичкой обольют чтоб суки разбежались уроды ,True,False,True
UggfaIh3XnD8nHgCoAEC,IC7sx75-A0Q,4 years ago,Pete Grey,хороший клип уважаю стремление человека к свободе желаю братьям украинцам не испытывать феодального колониального и сырьевого гнёта привет из россии ,False,False,True
Ugg2wybkbD2F1ngCoAEC.7-H0Z7-Nu5O7-JqOHBm_Sf,zCmV4dX5tgs,4 years ago,Роман Николаевич,вот тебя рожа выдает финно наглая угорская народность европейская мордва ,True,False,True
Ugjsjmou6GoCfngCoAEC,GItQLVTo4EI,4 years ago,Игорь М.,срочно ищем владельца шестнадцати редких немецких снайперских винтовок ,False,False,True
Ugjxzbn2fR4QrXgCoAEC,IqFdatdem64,4 years ago,Mike Manson,блять переведите мне название ролика с этого уёбищного хохлядского ,True,True,True
UgjqdPq_lHTQC3gCoAEC,t8u6l6BNEb0,4 years ago,Виталий Шевченко,виктор фёдорович почему не разрешишь ребятам из беркута стрелять на поражение ,False,False,True
